64,17,34,34,
38,16,25,25,
24,3,31,31,
32,17,34,34,
46,10,37,37,
23,32,27,27,
47,45,39,39,
18,50,23,23,
31,9,30,30,
24,20,40,40,
6,58,36,36,
17,3,24,24,
18,53,39,39,
57,28,37,37,
24,14,26,26,
6,28,26,26,
58,3,21,21,
60,40,40,40,
25,61,39,39,
2,72,27,27,
60,43,39,39,
69,63,31,31,
59,57,27,27,
63,42,30,30,
30,6,25,25,
50,6,39,39,
50,8,30,30,
28,11,36,36,
64,48,36,36,
2,51,22,22,
43,2,34,34,
58,21,33,33,
46,42,28,28,
72,58,24,24,
31,5,40,40,
46,54,34,34,
23,5,24,24,
4,3,25,25,
56,58,25,25,
57,43,35,35,
40,33,39,39,
11,49,27,27,
20,49,36,36,
31,47,33,33,
14,28,40,40,
59,48,33,33,
47,61,22,22,
28,29,25,25,
67,3,25,25,
36,50,38,38,
1,7,39,39,
28,33,30,30,
68,20,30,30,
17,57,33,33,
32,34,32,32,
9,12,32,32,
10,24,23,23,
56,52,24,24,
60,58,33,33,
33,41,37,37,
16,7,35,35,
73,59,25,25,
5,11,33,33,
27,57,28,28,
29,19,34,34,
51,2,26,26,
27,50,29,29,
21,53,37,37,
48,18,33,33,
15,18,39,39,
36,24,23,23,
19,54,30,30,
3,50,39,39,
68,72,22,22,
34,68,30,30,
64,64,25,25,
65,58,24,24,
8,34,29,29,
38,7,36,36,
52,55,27,27,
32,25,29,29,
22,6,25,25,
8,45,27,27,
50,47,30,30,
24,25,38,38,
58,58,21,21,
40,44,34,34,
13,49,31,31,
45,43,29,29,
29,53,31,31,
67,69,25,25,
38,50,26,26,
5,20,37,37,
10,45,38,38,
37,17,39,39,
13,13,27,27,
57,39,38,38,
17,64,23,23,
72,73,22,22,
19,51,37,37,
24,77,22,22,
47,67,27,27,
2,69,27,27,
39,49,35,35,
20,26,38,38,
35,27,40,40,
59,13,32,32,
12,58,40,40,
26,3,29,29,
61,66,34,34,
24,43,34,34,
6,60,33,33,
49,75,25,25,
20,35,22,22,
11,61,28,28,
8,28,30,30,
16,68,23,23,
9,60,37,37,
52,46,38,38,
6,77,21,21,
21,45,25,25,
33,26,31,31,
56,11,28,28,
9,40,26,26,
8,50,38,38,
50,16,36,36,
53,68,30,30,
60,61,32,32,
52,27,38,38,
42,27,36,36,
23,46,35,35,
39,48,38,38,
73,50,21,21,
19,9,24,24,
48,46,24,24,
49,2,21,21,
73,10,24,24,
40,11,25,25,
3,29,23,23,
57,60,34,34,
12,64,27,27,
60,52,34,34,
53,22,37,37,
67,14,25,25,
47,13,36,36,
28,26,26,26,
12,35,25,25,
51,39,23,23,
40,48,38,38,
14,9,24,24,
12,56,35,35,
64,32,23,23,
2,32,31,31,
2,16,30,30,
64,38,34,34,
24,41,40,40,
39,62,25,25,
37,58,21,21,
51,24,29,29,
28,33,39,39,
59,14,35,35,
26,72,24,24,
2,75,24,24,
21,36,30,30,
65,25,29,29,
12,27,27,27,
56,61,38,38,
52,49,26,26,
42,51,21,21,
45,13,30,30,
2,27,40,40,
66,68,26,26,
27,67,23,23,
9,19,23,23,
35,20,31,31,
61,71,24,24,
